Field,Entity,Year,Records,Organization type,Method
74,Dropbox,2012,68648009,web,hacked
75,Drupal,2013,1000000,web,hacked
76,DSW Inc.,2005,1400000,retail,hacked
77,Dun & Bradstreet,2013,1000000,tech,hacked
78,eBay,2014,145000000,web,hacked
79,"Earl Enterprises(Buca di Beppo, Earl of Sandwich, Planet Hollywood,Chicken Guy, Mixology, Tequila Taqueria)",2018-2019,2000000,restaurant,hacked
80,Educational Credit Management Corporation,2010,3300000,financial,lost / stolen media
81,Eisenhower Medical Center,2011,514330,healthcare,lost / stolen computer
82,ElasticSearch,2019,108000000,tech,poor security
83,Embassy Cables,2010,251000,government,inside job
84,"Emergency Healthcare Physicians, Ltd.",2010,180111,healthcare,lost / stolen media
85,Emory Healthcare,2012,315000,healthcare,poor security
86,Equifax,2017,163119000,"financial, credit reporting",poor security
87,Evernote,2013,50000000,web,hacked
88,Exactis,2018,340000000,data broker,poor security
89,Excellus BlueCross BlueShield,2015,10000000,healthcare,hacked
90,Experian - T-Mobile US,2015,15000000,telecoms,hacked
91,Facebook,2013,6000000,social network,accidentally published
92,Facebook,2018,50000000,social network,poor security
93,Facebook,2019,540000000,social network,poor security
94,Facebook,2019,1500000,social network,accidentally uploaded
95,Facebook,2019,267000000,social network,poor security
96,Fast Retailing,2019,461091,retail,hacked
97,Federal Reserve Bank of Cleveland,2010,400000,financial,hacked
98,Fidelity National Information Services,2007,8500000,financial,inside job
99,First American Corporation,2019,885000000,financial service company,poor security
100,Florida Department of Juvenile Justice,2013,100000,government,lost / stolen computer
101,Friend Finder Networks,2016,412214295,web,poor security / hacked
102,Funimation,2016,2500000,web,hacked
103,Formspring,2012,420000,web,accidentally published
104,Unknown,2020,201000000,personal and demographic data about residents and their properties of US,Poor security
105,Gamigo,2012,8000000,web,hacked
106,Gap Inc.,2007,800000,retail,lost / stolen computer
107,Gawker,2010,1500000,web,hacked
108,Global Payments,2012,7000000,financial,hacked
109,Gmail,2014,5000000,web,hacked
110,Google Plus,2018,500000,social network,poor security
111,Greek government,2012,9000000,government,hacked
112,Grozio Chirurgija,2017,25000,healthcare,hacked
113,GS Caltex,2008,11100000,energy,inside job
114,Hannaford Brothers Supermarket Chain,2007,4200000,retail,hacked
115,HauteLook,2018,28517244,retail,hacked
116,Health Net,2009,500000,healthcare,lost / stolen media
117,Health Net — IBM,2011,1900000,healthcare,lost / stolen media
118,Health Sciences Authority (Singapore),2019,808000,healthcare,poor security
119,Heartland,2009,130000000,financial,hacked
120,Hewlett Packard,2006,200000,"tech, retail",lost / stolen media
121,Hilton Hotels,2014 and 2015,363000,hotel,hacked
122,Home Depot,2014,56000000,retail,hacked
123,Honda Canada,2011,283000,retail,poor security
124,Instagram,2020,200000000,social network,poor security
125,Internal Revenue Service,2015,720000,financial,hacked
126,Inuvik hospital,2016,6700,healthcare,inside job
127,"Iranian banks (three: Saderat, Eghtesad Novin, and Saman)",2012,3000000,financial,hacked
128,Japan Pension Service,2015,1250000,special public corporation,hacked
129,Japanet Takata,2004,510000,shopping,inside job
130,"Jefferson County, West Virginia",2008,1600000,government,accidentally published
131,JP Morgan Chase,2010,2600000,financial,lost / stolen media
132,JP Morgan Chase,2014,76000000,financial,hacked
133,Justdial,2019,100000000,local search,unprotected api
134,KDDI,2006,4000000,telecoms,hacked
135,Kirkwood Community College,2013,125000,academic,hacked
136,KM.RU,2016,1500000,web,hacked
137,Korea Credit Bureau,2014,20000000,financial,inside job
138,Kroll Background America,2013,1000000,tech,hacked
139,KT Corporation,2012,8700000,telecoms,hacked
140,LexisNexis,2014,1000000,tech,hacked
141,LifeLabs,2019,15000000,healthcare,hacked
142,Lincoln Medical & Mental Health Center,2010,130495,healthcare,lost / stolen media
143,"LinkedIn, eHarmony, Last.fm",2012,8000000,web,accidentally published
144,Living Social,2013,50000000,web,hacked
145,MacRumors.com,2014,860000,web,hacked
146,Marriott International,2018,500000000,hotel,hacked
147,Marriott International,2020,5200000,hotel,poor security/inside job
148,Massachusetts Government,2011,210000,government,poor security
149,Massive American business hack including 7-Eleven and Nasdaq,2012,160000000,financial,hacked
150,US Medicaid,2012,780000,"government, healthcare",hacked
151,Medical Informatics Engineering,2015,3900000,healthcare,hacked
152,Memorial Healthcare System,2011,102153,healthcare,lost / stolen media
153,Michaels,2014,3000000,retail,hacked
154,Microsoft,2019,250000000,tech,data exposed by misconfiguration
155,Militarysingles.com,2012,163792,"web, military",accidentally published
156,Ministry of Education (Chile),2008,6000000,government,accidentally published
157,Ministry of Health (Singapore),2019,14200,healthcare,poor security/inside job
158,Mitsubishi Tokyo UFJ Bank,2006,960000,financial,intentionally lost
159,MongoDB,2019,202000000,tech,poor security
160,MongoDB,2019,275000000,tech,poor security
161,Mobile TeleSystems (MTS),2019,100000000,telecommunications,misconfiguration/poor security
162,Monster.com,2007,1600000,web,hacked
163,Morgan Stanley Smith Barney,2011,34000,financial,lost / stolen media
164,Mozilla,2014,76000,web,poor security
165,MyHeritage,2018,92283889,genealogy,unknown
166,Neiman Marcus,2014,1100000,retail,hacked
167,Nemours Foundation,2011,1055489,healthcare,lost / stolen media
168,Network Solutions,2009,573000,tech,hacked
169,New York City Health & Hospitals Corp.,2010,1700000,healthcare,lost / stolen media
170,New York State Electric & Gas,2012,1800000,energy,inside job
171,New York Taxis,2014,52000,transport,poor security
172,Nexon Korea Corp,2011,13200000,web,hacked
173,NHS,2011,8300000,healthcare,lost / stolen media
174,Nintendo (Club Nintendo),2013,240000,gaming,hacked
175,Nintendo (Nintendo Account),2020,160000,gaming,hacked
176,Nippon Television,2016,430000,media,hacked
177,Nival Networks,2016,1500000,gaming,hacked
178,Norwegian Tax Administration,2008,3950000,government,accidentally published
179,Now:Pensions,2020,30000,financial,rogue contractor
180,US Office of Personnel Management,2015,21500000,government,hacked
181,Office of the Texas Attorney General,2012,6500000,government,accidentally published
182,Ohio State University,2010,760000,academic,hacked
183,Orbitz,2018,880000,web,hacked
184,Patreon,2015,2300000,web,hacked
185,PayPay,2020,20076016,QR code payment,"improper setting, hacked"
186,Popsugar,2018,123857,fashion,hacked
187,Premera,2015,11000000,healthcare,hacked
188,Puerto Rico Department of Health,2010,515000,healthcare,hacked
189,Quest Diagnostics,2019,11900000,Clinical Laboratory,poor security
190,Quora,2018,100000000,Question & Answer,hacked
191,Rakuten,2020,1381735,web,"improper setting, hacked"
192,Rambler.ru,2012,98167935,web,hacked
193,RBS Worldpay,2008,1500000,financial,hacked
194,Restaurant Depot,2011,200000,retail,hacked
195,RockYou!,2009,32000000,"web, gaming",hacked
196,"Sakai City, Japan",2015,680000,government,inside job
197,San Francisco Public Utilities Commission,2011,180000,government,hacked
198,Scottrade,2015,4600000,financial,hacked
199,Scribd,2013,500000,web,hacked
200,"Seacoast Radiology, PA",2010,231400,healthcare,hacked
201,Sega,2011,1290755,gaming,hacked
202,Service Personnel and Veterans Agency (UK),2008,50500,government,lost / stolen media
203,SingHealth,2018,1500000,"government, database",hacked
204,Slack,2015,500000,tech,poor security
205,SlickWraps,2020,377428,phone accessories,poor security
206,SnapChat,2013,4700000,"web, tech",hacked
207,Sony Online Entertainment,2011,24600000,gaming,hacked
208,Sony Pictures,2011,1000000,web,hacked
209,Sony PlayStation Network,2011,77000000,gaming,hacked
210,South Africa police,2013,16000,government,hacked
211,South Carolina Government,2012,6400000,healthcare,inside job
212,"South Shore Hospital, Massachusetts",2010,800000,healthcare,lost / stolen media
213,Southern California Medical-Legal Consultants,2011,300000,healthcare,hacked
214,Spartanburg Regional Healthcare System,2011,400000,healthcare,lost / stolen computer
215,Stanford University,2008,72000,academic,lost / stolen computer
216,Starbucks,2008,97000,retail,lost / stolen computer
217,State of Texas,2011,3500000,government,accidentally published
218,Steam,2011,35000000,web,hacked
219,StockX,2019,6800000,retail,hacked
220,Stratfor,2011,935000,military,accidentally published
221,Sutter Medical Center,2011,4243434,healthcare,lost / stolen computer
222,Syrian government (Syria Files),2012,2434899,government,hacked
223,Taobao,2016,20000000,retail,hacked
224,Taringa!,2017,28722877,web,hacked
225,Target Corporation,2013,110000000,retail,hacked
226,TaxSlayer.com,2016,8800,web,hacked
227,TD Ameritrade,2007,6300000,financial,hacked
228,TD Bank,2012,260000,financial,hacked
229,TerraCom & YourTel,2013,170000,telecoms,accidentally published
230,Tetrad,2020,120000000,market analysis,poor security
231,Texas Lottery,2007,89000,government,inside job
232,Ticketfly (subsidiary of Eventbrite),2018,26151608,ticket distribution,hacked
233,Tianya Club,2011,28000000,web,hacked
234,TikTok,2020,42000000,social media,poor security
235,TK / TJ Maxx,2007,94000000,retail,hacked
236,"T-Mobile, Deutsche Telekom",2006,17000000,telecoms,lost / stolen media
237,T-Mobile,2021,45000000,telecom,hacked
238,Tricare,2011,4901432,"military, healthcare",lost / stolen computer
239,"Triple-S Salud, Inc.",2010,398000,healthcare,lost / stolen media
240,Truecaller,2019,299055000,Telephone directory,unknown
241,Tumblr,2013,65469298,web,hacked
242,Twitter,2013,250000,web,hacked
243,Uber,2014,50000,tech,poor security
244,Uber,2017,57000000,transport,hacked
245,Ubuntu,2013,2000000,tech,hacked
246,"UCLA Medical Center, Santa Monica",2015,4500000,healthcare,hacked
247,UK Home Office,2008,84000,government,lost / stolen media
248,UK Ministry of Defence,2008,1700000,government,lost / stolen media
249,UK Revenue & Customs,2007,25000000,government,lost / stolen media
250,Universiti Teknologi MARA,2019,1164540,academic,hacked
251,Under Armour,2018,150000000,Consumer Goods,hacked
252,"University of California, Berkeley",2009,160000,academic,hacked
253,"University of California, Berkeley",2016,80000,academic,hacked
254,"University of Maryland, College Park",2014,300000,academic,hacked
255,University of Central Florida,2016,63000,academic,hacked
256,University of Miami,2008,2100000,academic,lost / stolen computer
257,University of Utah Hospital & Clinics,2008,2200000,academic,lost / stolen media
258,University of Wisconsin–Milwaukee,2011,73000,academic,hacked
259,United States Postal Service,2018,60000000,government,poor security
260,U.S. Army,2011,50000,military,accidentally published
261,U.S. Army(classified Iraq War documents),2010,392000,government,inside job
262,U.S. Department of Defense,2009,72000,military,lost / stolen media
263,U.S. Department of Veteran Affairs,2006,26500000,"government, military",lost / stolen computer
264,U.S. law enforcement (70 different agencies),2011,123461,government,accidentally published
265,National Archives and Records Administration (U.S. military veterans records),2009,76000000,military,lost / stolen media
266,U.S. government (United States diplomatic cables leak),2010,260000,military,inside job
267,National Guard of the United States,2009,131000,military,lost / stolen computer
268,Vastaamo,2020,130000,healthcare,hacked
269,Verizon Communications,2016,1500000,telecoms,hacked
270,View Media,2020,38000000,online marketing,publicly accessible Amazon Web Services (AWS) server
271,Virgin Media,2020,900000,mobile carrier,accidentally exposed
272,Virginia Department of Health,2009,8257378,"government, healthcare",hacked
273,Virginia Prescription Monitoring Program,2009,531400,healthcare,hacked
274,Vodafone,2013,2000000,telecoms,inside job
275,VTech,2015,5000000,retail,hacked
276,Walmart,2015,1300000,retail,hacked
277,Washington Post,2011,1270000,media,hacked
278,Washington State court system,2013,160000,government,hacked
279,Wattpad,2020,270000000,web,hacked
280,Wawa (company),2020,30000000,retail,hacked
281,Weebly,2016,43430316,web,hacked
282,Writerspace.com,2011,62000,web,hacked
283,Xat.com,2015,6054459,web,social engineering
284,Yahoo,2013,3000000000,web,hacked
285,Yahoo,2014,500000000,web,hacked
286,Yahoo Japan,2013,22000000,"tech, web",hacked
287,Yahoo! Voices,2012,450000,web,hacked
288,Yale University,2010,43000,academic,accidentally published
289,YouTube,2020,4000000,social media,poor security
290,Zappos,2012,24000000,web,hacked
291,Zynga,2019,173000000,social network,hacked
292,Westpac,2019,98000,financial,hacked
293,Unknown agency(believed to be tied to United States Census Bureau),2020,200000000,financial,accidentally published
294,National Health Information Center (NCZI) of Slovakia,2020,391250,healthcare,poor security
